param_id,param_apsim,value,group_id,set_id,set_desc,set_desc2,do_manually
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,10,kill,"only dry kill, 1%",N
7,yMoistString,"0.01, 0, 0, 0, 0",kill,10,kill,"only dry kill, 1%",N
8,xTempString,"-3.5, 0",kill,10,kill,"only dry kill, 1%",N
9,yTempString,"0, 0",kill,10,kill,"only dry kill, 1%",N
10,moistDaysBefore,14,rue,10,kill,"only dry kill, 1%",N
11,moistDaysAfter,1,rue,10,kill,"only dry kill, 1%",N
12,moistMaxLayers,2,rue,10,kill,"only dry kill, 1%",N
13,coldStage,4,rue,10,kill,"only dry kill, 1%",N
14,coldTT,4,rue,10,kill,"only dry kill, 1%",N
15,xSurfaceOMString,"0,2500,10000",rue,10,kill,"only dry kill, 1%",N
16,ySurfaceOMString,"1, 1, 1",rue,10,kill,"only dry kill, 1%",N
17,xMoistureString,"0,1,2",rue,10,kill,"only dry kill, 1%",N
18,yMoistureString,"1, 1, 1",rue,10,kill,"only dry kill, 1%",N
19,xTTString,"0,15,100",rue,10,kill,"only dry kill, 1%",N
20,yTTString,"1, 1, 1",rue,10,kill,"only dry kill, 1%",N
21,moistDaysBefore,14,xf,10,kill,"only dry kill, 1%",N
22,moistDaysAfter,1,xf,10,kill,"only dry kill, 1%",N
23,moistMaxLayers,2,xf,10,kill,"only dry kill, 1%",N
24,coldStage,4,xf,10,kill,"only dry kill, 1%",N
25,coldTT,4,xf,10,kill,"only dry kill, 1%",N
26,xSurfaceOMString,"0,2500,10000",xf,10,kill,"only dry kill, 1%",N
27,ySurfaceOMString,"1, 1, 1",xf,10,kill,"only dry kill, 1%",N
28,xMoistureString,"0,1,2",xf,10,kill,"only dry kill, 1%",N
29,yMoistureString,"1, 1, 1",xf,10,kill,"only dry kill, 1%",N
30,xTTString,"0,15,100",xf,10,kill,"only dry kill, 1%",N
31,yTTString,"1, 1, 1",xf,10,kill,"only dry kill, 1%",N
1,startStage,1,kill,11,kill,"only dry kill, 10%",N
2,endStage,3.5,kill,11,kill,"only dry kill, 10%",N
3,maxLayer,3,kill,11,kill,"only dry kill, 10%",N
4,moistLim,2,kill,11,kill,"only dry kill, 10%",N
5,tempLim,2,kill,11,kill,"only dry kill, 10%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,11,kill,"only dry kill, 10%",N
7,yMoistString,"0.1, 0, 0, 0, 0",kill,11,kill,"only dry kill, 10%",N
8,xTempString,"-3.5, 0",kill,11,kill,"only dry kill, 10%",N
9,yTempString,"0, 0",kill,11,kill,"only dry kill, 10%",N
10,moistDaysBefore,14,rue,11,kill,"only dry kill, 10%",N
11,moistDaysAfter,1,rue,11,kill,"only dry kill, 10%",N
12,moistMaxLayers,2,rue,11,kill,"only dry kill, 10%",N
13,coldStage,4,rue,11,kill,"only dry kill, 10%",N
14,coldTT,4,rue,11,kill,"only dry kill, 10%",N
15,xSurfaceOMString,"0,2500,10000",rue,11,kill,"only dry kill, 10%",N
16,ySurfaceOMString,"1, 1, 1",rue,11,kill,"only dry kill, 10%",N
17,xMoistureString,"0,1,2",rue,11,kill,"only dry kill, 10%",N
18,yMoistureString,"1, 1, 1",rue,11,kill,"only dry kill, 10%",N
19,xTTString,"0,15,100",rue,11,kill,"only dry kill, 10%",N
20,yTTString,"1, 1, 1",rue,11,kill,"only dry kill, 10%",N
21,moistDaysBefore,14,xf,11,kill,"only dry kill, 10%",N
22,moistDaysAfter,1,xf,11,kill,"only dry kill, 10%",N
23,moistMaxLayers,2,xf,11,kill,"only dry kill, 10%",N
24,coldStage,4,xf,11,kill,"only dry kill, 10%",N
25,coldTT,4,xf,11,kill,"only dry kill, 10%",N
26,xSurfaceOMString,"0,2500,10000",xf,11,kill,"only dry kill, 10%",N
27,ySurfaceOMString,"1, 1, 1",xf,11,kill,"only dry kill, 10%",N
28,xMoistureString,"0,1,2",xf,11,kill,"only dry kill, 10%",N
29,yMoistureString,"1, 1, 1",xf,11,kill,"only dry kill, 10%",N
30,xTTString,"0,15,100",xf,11,kill,"only dry kill, 10%",N
31,yTTString,"1, 1, 1",xf,11,kill,"only dry kill, 10%",N
1,startStage,1,kill,100,rue,rue defaults,N
2,endStage,3.5,kill,100,rue,rue defaults,N
3,maxLayer,3,kill,100,rue,rue defaults,N
4,moistLim,2,kill,100,rue,rue defaults,N
5,tempLim,2,kill,100,rue,rue defaults,N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,100,rue,rue defaults,N
7,yMoistString,"0, 0, 0, 0, 0",kill,100,rue,rue defaults,N
8,xTempString,"-3.5, 0",kill,100,rue,rue defaults,N
9,yTempString,"0, 0",kill,100,rue,rue defaults,N
10,moistDaysBefore,14,rue,100,rue,rue defaults,N
11,moistDaysAfter,1,rue,100,rue,rue defaults,N
12,moistMaxLayers,2,rue,100,rue,rue defaults,N
13,coldStage,4,rue,100,rue,rue defaults,N
14,coldTT,4,rue,100,rue,rue defaults,N
15,xSurfaceOMString,"0,2500,10000",rue,100,rue,rue defaults,N
16,ySurfaceOMString,"1,1,0.96",rue,100,rue,rue defaults,N
17,xMoistureString,"0,1,2",rue,100,rue,rue defaults,N
18,yMoistureString,"0.97,1.0,0.94",rue,100,rue,rue defaults,N
19,xTTString,"0,15,100",rue,100,rue,rue defaults,N
20,yTTString,"1,0.96,0.92",rue,100,rue,rue defaults,N
21,moistDaysBefore,14,xf,100,rue,rue defaults,N
22,moistDaysAfter,1,xf,100,rue,rue defaults,N
23,moistMaxLayers,2,xf,100,rue,rue defaults,N
24,coldStage,4,xf,100,rue,rue defaults,N
25,coldTT,4,xf,100,rue,rue defaults,N
26,xSurfaceOMString,"0,2500,10000",xf,100,rue,rue defaults,N
27,ySurfaceOMString,"1, 1, 1",xf,100,rue,rue defaults,N
28,xMoistureString,"0,1,2",xf,100,rue,rue defaults,N
29,yMoistureString,"1, 1, 1",xf,100,rue,rue defaults,N
30,xTTString,"0,15,100",xf,100,rue,rue defaults,N
31,yTTString,"1, 1, 1",xf,100,rue,rue defaults,N
1,startStage,1,kill,101,rue,"res pen only, 4%",N
2,endStage,3.5,kill,101,rue,"res pen only, 4%",N
3,maxLayer,3,kill,101,rue,"res pen only, 4%",N
4,moistLim,2,kill,101,rue,"res pen only, 4%",N
5,tempLim,2,kill,101,rue,"res pen only, 4%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,101,rue,"res pen only, 4%",N
7,yMoistString,"0, 0, 0, 0, 0",kill,101,rue,"res pen only, 4%",N
8,xTempString,"-3.5, 0",kill,101,rue,"res pen only, 4%",N
9,yTempString,"0, 0",kill,101,rue,"res pen only, 4%",N
