ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     15/07/2001           2001            0.0            0.0       1671.052          111.0            0.0          0.000            1.2          0.000
     16/07/2001           2001            0.0            0.0       1687.020          112.2            0.0          0.000            1.2          0.000
     17/07/2001           2001            0.0            0.0       1711.800          113.5            0.0          0.000            1.3          0.000
     18/07/2001           2001            0.0            0.0       1741.262          114.8            0.0          0.000            1.2          0.508
     19/07/2001           2001            0.0            0.0       1761.722          116.3            0.0          0.000            1.6          9.144
     20/07/2001           2001            0.0            0.0       1781.350          117.7            0.0          0.000            1.4          0.000
     21/07/2001           2001            0.0            0.0       1787.790          118.9            0.0          0.000            1.3          0.000
     22/07/2001           2001            0.0            0.0       1791.222          120.3            0.0          0.000            1.3          0.000
     23/07/2001           2001            0.0            0.0       1794.590          121.8            0.0          0.000            1.4          0.000
     24/07/2001           2001            0.0            0.0       1797.774          123.3            0.0          0.000            1.5         19.050
     25/07/2001           2001            0.0            0.0       1800.661          124.5            0.0          0.000            1.4          0.000
     26/07/2001           2001            0.0            0.0       1802.666          125.6            0.0          0.000            1.2          0.000
     27/07/2001           2001            0.0            0.0       1804.243          126.6            0.0          0.000            1.0          0.000
     28/07/2001           2001            0.0            0.0       1805.679          127.7            0.0          0.000            1.1          2.794
     29/07/2001           2001            0.0            0.0       1807.714          128.8            0.0          0.000            1.1          0.000
     30/07/2001           2001            0.0            0.0       1810.252          130.1            0.0          0.000            1.2          0.000
     31/07/2001           2001            0.0            0.0       1813.349          131.7            0.0          0.000            1.4          0.000
     01/08/2001           2001            0.0            0.0       1816.956          133.4            0.0          0.000            1.5          0.000
     02/08/2001           2001            0.0            0.0       1820.993          135.1            0.0          0.000            1.5          0.000
     03/08/2001           2001            0.0            0.0       1824.759          136.5            0.0          0.000            1.6         25.400
     04/08/2001           2001            0.0            0.0       1827.379          137.9            0.0          0.000            1.6          0.000
     05/08/2001           2001            0.0            0.0       1827.607          139.3            0.0          0.000            1.5          0.000
     06/08/2001           2001            0.0            0.0       1827.495          140.7            0.0          0.000            1.4          0.000
